topic,wordCount,readingScore,frameNumber,gazepoints,TTFF,euclCount,dbCount,maxVelocity,minVelocity
Nike_ Inc. _12_41_31,232,1.2630626555078037,1,188,44.0,15,4,4980.36,-14483.07
Nike_ Inc. _12_41_31,232,1.2630626555078037,3,966,1.0,63,67,7170.06,-11492.82
Nike_ Inc. _12_41_31,232,1.2630626555078037,2,1328,1.0,141,79,12923.63,-14583.86
Dynamic programming _12_13_05,554,-0.10609100159906965,7,1117,17.0,19,26,12309.87,-12253.26
Dynamic programming _12_13_05,554,-0.10609100159906965,2,724,2.0,25,18,6072.76,-9949.02
Dynamic programming _12_13_05,554,-0.10609100159906965,10,1087,3.0,52,51,7124.92,-13156.56
Dynamic programming _12_13_05,554,-0.10609100159906965,5,725,18.0,12,7,5259.25,-7258.82
Dynamic programming _12_13_05,554,-0.10609100159906965,8,453,1.0,18,23,7093.02,-11682.49
Dynamic programming _12_13_05,554,-0.10609100159906965,6,241,2.0,8,12,4981.45,-10218.03
Dynamic programming _12_13_05,554,-0.10609100159906965,3,241,2.0,6,5,3912.56,-6037.38
Dynamic programming _12_13_05,554,-0.10609100159906965,4,815,14.0,19,16,12636.02,-13099.8
Dynamic programming _12_13_05,554,-0.10609100159906965,9,603,1.0,29,28,6243.53,-13784.76
Dynamic programming _12_13_05,554,-0.10609100159906965,1,415,35.0,4,4,11602.28,-9392.44
Dynamic programming _12_13_05,554,-0.10609100159906965,11,181,1.0,8,4,5299.4,-2194.93
Tuple_01_18_39,11,-0.07591094234653892,1,51,1.0,21,8,1897.37,-27330.2
Tuple_01_21_30,13,-0.04565474153632179,1,904,1.0,840,16,1060.66,-30018.31
Tuple_18_34_22,11,-0.07591094234653892,1,448,2.0,418,4,930.48,-1412.87
